,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,label
80,All_languages,Laprairie,Lampégie,ləˈprɛri,lɑ̃peʒi,Laprairie,Lampegy,5,0.6577755999999999,0.8245390057563782,0.7807412147521973,hard_negative
81,All_languages,disquisition,dispositif,disquisition*,dispɔzitif,disquisition,device,5,2.4034072999999996,0.671444296836853,0.6997800469398499,hard_negative
82,All_languages,Lemaire,Lemar,ləˈmɛr,ləmaʀ,The mayor,Lemar,2,2.4977317,0.9549031257629396,0.8181195855140686,hard_negative
83,All_languages,Valor,Valeur,ˈvælər,valœʀ,Valor,Value,2,0.54752797,0.87540203332901,0.7151747941970825,synonym
84,All_languages,Marie,Nérac,mərˈi,neʀak,Marie,Nerac,4,1.6590322,0.780380129814148,0.4497427344322205,random
85,All_languages,paysage,passé,paysage*,pase,countryside,passé,4,0.31816888,0.7000571489334106,0.7239666581153871,hard_negative
86,All_languages,Bas,basse,bas*,bas,Bas,basse,3,1.3654838,0.4869588613510132,0.6515874266624451,hard_negative
87,All_languages,retable,étable,retable*,etabl,altarpiece,barn,2,0.29639829999999995,0.7813037037849426,0.8877385854721069,hard_negative
88,All_languages,brisement,bienséance,brisement*,bjɛ̃seɑ̃s,breaking,propriety,8,0.9282043,0.8455309867858887,0.8058276772499084,hard_negative
89,All_languages,Timid,Timide,ˈtɪmɪd,timid,Timid,Shy,1,0.20394988,0.959847629070282,0.8997281789779663,synonym
90,All_languages,communard,communal,communard*,kɔmynal,communard,communal,2,-0.23995827,0.7958095669746399,0.7824135422706604,hard_negative
91,All_languages,braze,bridé,braze*,bʀide,braze,flange,3,-0.11821349,0.912427008152008,0.693886399269104,hard_negative
92,All_languages,cadre,caddy,ˈkædri,kadi,cadre,caddy,2,-0.38118562,0.8122668862342834,0.7646510601043701,hard_negative
93,All_languages,massicot,masticage,massicot*,mastikaʒ,massicot,masticage,4,0.7019349,0.8962492942810059,0.661496639251709,hard_negative
94,All_languages,mother sauces,défervescence,ˈməðər ˈsɔsɪz,defɛʀvəsɑ̃s,mother sauces,defervescence,10,2.8834765,0.5910276174545288,0.5975565910339355,hard_negative
95,All_languages,emblematic,antiémétique,ˌɛmbləˈmætɪk,ɑ̃sjemetik,emblematic,antiemetic,9,3.4558824999999995,0.8530219197273254,0.7018101215362549,hard_negative
96,All_languages,clementine,clématite,ˈklɛmənˌtin,klematit,clementine,clematis,4,2.174587,0.9155151844024658,0.6485242247581482,hard_negative
97,All_languages,chiffonade,chiffonnade,chiffonade*,ʃifɔnad,chiffonade,chiffonnade,1,2.9727266,0.9242590069770812,0.9159308671951294,hard_negative
98,All_languages,Limours,limousin,limours*,limuzɛ̃,Limours,limousin,4,2.2818970000000003,0.8359121680259705,0.6957921981811523,hard_negative
99,All_languages,pique,pic,pik,pik,pique,pic,3,2.509584,0.9031025767326356,0.6520155072212219,hard_negative
100,All_languages,félibre,faillible,félibre*,felibl,félibre,fallible,4,2.473744,0.7908599376678467,0.6842890977859497,hard_negative
101,All_languages,viveur,vivier,viveur*,vivjəʀ,vivacious,breeding ground,2,1.2699001,0.8926811814308167,0.7985323071479797,hard_negative
102,All_languages,klemmari,krämare,klemmɑri,krɛːmɑːreː,clamp,creamer,4,2.2861407000000002,0.9048829078674316,0.6774519681930542,hard_negative
103,All_languages,niitti,nätt,niːtti,nɛt,rivet,pretty,3,4.7463655,0.835837721824646,0.7008067965507507,random
104,All_languages,luntta,lönt,lunttɑ,lœnt,away,paid,3,1.8332130000000002,0.7987995147705078,0.6780920624732971,hard_negative
105,All_languages,ruljanssi,rojalism,ruljɑnssi,ruːjɑːlɪsm,rigmarole,rojalism,5,3.131307,0.8936707377433777,0.7910107374191284,hard_negative
106,All_languages,absurdia,absurd,ɑpsurdiɑ,ɐbsɵrd,absurdia,absurd,2,2.9241933999999996,0.9096901416778564,0.8733820915222168,synonym
107,All_languages,falski,puls,fɑlski,pɵls,falski,puls,4,2.354593,0.7898951172828674,0.7071986198425293,random
108,All_languages,Suru,Sorg,suru,sɔrɡ,do,Care,2,-0.19364299,0.8315667510032654,0.7254592180252075,synonym
109,All_languages,suuli,sol,suːli,suːl,toilet,sol,3,-0.29431412,0.8763635754585266,0.8156673312187195,hard_negative
110,All_languages,elementti,elementär,elementti,eːleːmɛntɛːr,element,elemental,2,-0.52542704,0.9120095372200012,0.7578677535057068,hard_negative
111,All_languages,mokka,mujka,mokkɑ,mɵjkɑː,suede,mujka,2,1.4545517,0.927053153514862,0.7801778316497803,hard_negative
112,All_languages,sitruuna,citrin,sitruːnɑ,sɪtriːn,lemon,citrine,4,1.7923619,0.8409974575042725,0.6903603672981262,hard_negative
113,All_languages,aarpora,erfara,ɑːrporɑ,ɛrfɑːrɑː,Arpara,experience,4,0.45952636,0.9425753355026244,0.7688376903533936,hard_negative
114,All_languages,liisteri,Lisen,liːsteri,liːseːn,goo,License,5,0.8863742,0.8898695707321167,0.6136423349380493,hard_negative
115,All_languages,tärpätti,serpentin,tærpætti,sɛrpɛntiːn,turpentine,serpentine,5,1.4803492,0.8017963171005249,0.7438092231750488,hard_negative
116,All_languages,bönde,bonde,bønde,bɔndeː,in the way,valley,1,-0.258268,0.924676477909088,0.8548398017883301,hard_negative
117,All_languages,diftongi,tejstefisk,diftoŋŋi,tɛjsteːfɪɧ,diphthongs,tejstefisk,9,3.8088934,0.9011118412017822,0.6968012452125549,random
118,All_languages,meklari,mäkla,meklɑri,mɛklɑː,meklari,,3,5.036807,0.9191913008689879,0.6860184073448181,hard_negative
119,All_languages,fläkki,flak,flækki,flɑːk,flick,flak,3,0.562091,0.9019994139671326,0.8206071853637695,hard_negative
120,All_languages,stoge,stå,stoɡe,stoː,roof,stand,3,0.56972116,0.8768017888069153,0.6537244319915771,hard_negative
121,All_languages,pora,spåra,porɑ,spoːrɑː,couple,track,2,0.9416155,0.8761531114578247,0.6106011867523193,hard_negative
122,All_languages,Linnea,Linnéa,linneɑ,lɪneːɑː,Linnea,Linnaeus,1,3.9621307999999997,0.9149979948997498,0.7455496191978455,hard_negative
123,All_languages,mynsteri,monster,mynsteri,mɔnsteːr,mystery,monster,2,3.0023072,0.5361761450767517,0.6653549671173096,hard_negative
124,All_languages,suutari,sotare,suːtɑri,suːtɑːreː,cobbler,chimney sweep,3,1.4845291,0.9077154994010924,0.8198367953300476,hard_negative
125,All_languages,карта,касса,kɑrtɑ,kassa,map,box office,2,0.97133774,0.7111428380012512,0.7218014597892761,hard_negative
126,All_languages,формализм,вандализм,formɑlijzm,vandalʲizm,formalism,vandalism,4,-0.17152753,0.9068762063980104,0.7408848404884338,hard_negative
127,All_languages,топография,типография,topoɡrɑfijjɑ,tʲipoɡrafʲia,topography,printing house,1,0.36197677,0.5998456478118896,0.7642812728881836,hard_negative
128,All_languages,кабак,казак,kɑbɑk,kazak,pumpkin,Kazakh,1,-0.37503794,0.7492885589599609,0.7544082403182983,hard_negative
129,All_languages,эмиссия,эмесскій,emijssijjɑ,emʲesskіj,emission,emesky,4,1.3913256999999999,0.8414903283119202,0.7512089610099792,hard_negative
130,All_languages,авокадо,Эдогава,ɑvokɑdo,edoɡava,avocado,Edogawa,5,1.2008915,0.9128990173339844,0.6433899402618408,hard_negative
131,All_languages,этан,ажан,etɑn,aʒan,ethane,ajan,2,-0.25079662,0.8397392034530641,0.7329918742179871,hard_negative
132,All_languages,автоспорт,абдуктант,ɑvtosport,abduktant,motorsport,abductant,7,2.3362515,0.916336715221405,0.7109106183052063,hard_negative
133,All_languages,функция,санкция,fwnktsijjɑ,sankt͡sia,function,sanction,2,3.1528544,0.6837568283081055,0.5940073132514954,hard_negative
134,All_languages,очерк,изверг,otɕjerk,izvʲerɡ,feature article,monster,4,1.5218513,0.8815207481384277,0.7130861282348633,hard_negative
135,All_languages,абонемент,анонимность,ɑbonjemjent,anonimnostʲ,subscription,anonymity,6,0.6712996999999999,0.8896728157997131,0.7381436824798584,hard_negative
136,All_languages,торий,церий,torijj,t͡serʲij,thorium,cerium,2,0.52162987,0.9471998810768129,0.8652223348617554,hard_negative
137,All_languages,каротин,Харитон,kɑrotijn,xarʲiton,carotene,Hariton,3,1.3478702,0.8894519209861755,0.6120796799659729,hard_negative
138,All_languages,моль,боль,molь,bolʲ,mole,pain,1,-0.60792553,0.8473434448242188,0.7648866772651672,hard_negative
139,All_languages,глобус,крокус,ɡlobws,krokus,globe,crocus,3,1.0596281,0.8691825270652771,0.7823159098625183,hard_negative
140,All_languages,механизм,метоним,mjeχɑnijzm,mʲetonim,mechanism,metonym,3,1.7842641,0.9349130392074584,0.5659881830215454,hard_negative
141,All_languages,эмблема,эмбиент,embljemɑ,embʲient,emblem,ambient,3,-0.15458465,0.9234133958816528,0.7584275603294373,hard_negative
142,All_languages,сапонин,топоним,sɑponijn,toponim,saponin,toponym,3,0.8130214,0.8253545761108398,0.6845970749855042,hard_negative
143,All_languages,тыл,таль,təl,talʲ,rear,tal,2,0.37024054,0.865041971206665,0.6522900462150574,hard_negative
144,All_languages,тантал,сандал,tɑntɑl,sandal,tantalum,chair,2,0.3375474,0.9364082813262941,0.5939526557922363,hard_negative
145,All_languages,эстетизм,аскетизм,estjetijzm,askʲetʲizm,aesthetics,asceticism,2,5.9503699999999995,0.9650617837905884,0.8205140829086304,hard_negative
146,All_languages,майонез,майоран,mɑjonjez,majoran,mayonnaise,marjoram,3,1.7392128,0.8164511919021606,0.8468737602233887,hard_negative
147,All_languages,экспрессионизм,импрессионизм,eksprjessijonijzm,imprʲessʲionizm,expressionism,impressionism,3,5.2482514,0.9829198718070984,0.8721514940261841,hard_negative
148,All_languages,кран,крен,krɑn,krʲen,crane,bank,1,-1.1682045,0.8835858106613159,0.8567406535148621,hard_negative
149,All_languages,семиотика,семантика,sjemijotijkɑ,sʲemantʲika,semiotics,semantics,2,3.2516289,0.912257194519043,0.7705352306365967,hard_negative
150,All_languages,материализм,материалист,mɑtjerijɑlijzm,matʲerʲialʲist,materialism,materialist,2,3.6534202000000007,0.8961949348449707,0.6536219716072083,hard_negative
151,All_languages,резонанс,реверанс,rjezonɑns,rʲevʲerans,resonance,curtsey,3,6.9332020000000005,0.931128203868866,0.7659258842468262,hard_negative
152,All_languages,нарколепсия,шёлкопрядильня,nɑrkoljepsijjɑ,ʂolkoprʲadʲilʲna,narcolepsy,silk spinning,10,2.6367363999999998,0.8969497084617615,0.7208446860313416,hard_negative
153,All_languages,арккосеканс,арккосинус,ɑrkkosjekɑns,arkkosʲinus,arkkosekans,arkkosinus,4,3.4020642999999997,0.9685077071189879,0.8307352662086487,hard_negative
154,All_languages,полковник,церковник,polkovnijk,t͡serkovnik,colonel,cleric,3,2.880535,0.5359013080596924,0.5954171419143677,hard_negative
155,All_languages,маршал,маркер,mɑrʃɑl,markʲer,marshal,marker,3,-0.036036655,0.7737494707107544,0.6657949686050415,hard_negative
156,All_languages,арккотангенс,аккомпанемент,ɑrkkotɑnɡjens,akkompanemʲent,arcotangent,accompaniment,6,0.49631578,0.8501449227333069,0.7358033657073975,hard_negative
157,All_languages,инверсия,интерфейс,ijnvjersijjɑ,intʲerfʲejs,inversion,interface,5,0.6987459,0.9005752205848694,0.667428195476532,hard_negative
158,All_languages,натурализм,натуралист,nɑtwrɑlijzm,naturalʲist,naturalism,naturalist,2,0.59950405,0.9633205533027648,0.7789981961250305,hard_negative
159,All_languages,иттербий,арт-дилер,ijttjerbijj,art-dʲilʲer,itterbium,art dealer,8,1.5795988,0.953096091747284,0.6967878341674805,hard_negative
160,All_languages,сейф,сейд,sjejf,sʲejd,safe,seid,1,0.55369216,0.9242308735847472,0.8085408806800842,hard_negative
161,All_languages,пилотка,пилочка,pijlotkɑ,pʲilot͡ɕʲka,hat,nail file,1,1.288556,0.9266545176506042,0.7952668070793152,hard_negative
162,All_languages,хаос,хаус,χɑos,xaus,chaos,house,1,1.0095749,0.8374505043029785,0.7858477234840393,hard_negative
163,All_languages,деконструкция,демонстративно,djekonstrwktsijjɑ,dʲemonstratʲivno,deconstruction,demonstratively,7,5.1692860000000005,0.921512246131897,0.6149478554725647,hard_negative
164,All_languages,балкон,калкан,bɑlkon,kalkan,a balcony,shield,2,0.2005337,0.9025887846946716,0.7199246883392334,hard_negative
165,All_languages,символизм,символист,sijmvolijzm,sʲimvolʲist,symbolism,symbolist,2,1.2271345,0.8721074461936951,0.8280652165412903,hard_negative
166,All_languages,Рождество,тождество,roʒdjestvo,toʒdʲestvo,Christmas,identity,1,0.083252706,0.9157803058624268,0.6666423678398132,hard_negative
167,All_languages,сульфон,тюльпан,swlьfon,tʲulʲpan,sulfon,tulip,4,0.23014867,0.8423561453819275,0.7891643047332764,hard_negative
168,All_languages,məclis,مجلس,mæd͡ʒlɪs,md͡ʒls,assembly,board,6,2.097,0.7227913737297058,0.7733823657035828,hard_negative
169,All_languages,əyal,آكل,æjɑl,aٓkl,woman,ate,4,3.3333328,0.8355629444122314,0.7605845928192139,hard_negative
170,All_languages,Zəif,ضيق,zæɪf,dˤiːq,Weak,narrow,4,1.0926763000000002,0.8438488841056824,0.7409577369689941,synonym
171,All_languages,ixtisas,احتشاد,ɪxtɪsɑs,aħtʃaːd,you fished,swarming,7,3.8514524,0.8908610343933105,0.6932222247123718,hard_negative
172,All_languages,imza,إملاء,ɪmzɑ,aٕmlaːʔ,signature,filling,5,1.5513148,0.910984218120575,0.5916780829429626,hard_negative
173,All_languages,Tapmaca,صعوبة,tɑpmɑd͡ʒɑ,sˤʕuːbt,Riddle,difficulty,7,1.0926879999999999,0.6672468185424805,0.6812120676040649,synonym
174,All_languages,tarix,طريخ,tɑrɪx,tˤriːx,history,tarikh,5,0.97460306,0.9007066488265991,0.6114178299903871,hard_negative
175,All_languages,hüquq,حُكْمًا,hyɡuɡ,ħُkْmًaː,law,verdict,7,1.7574246,0.7303116917610168,0.4655745327472687,random
176,All_languages,mühasirə,محاصر,myhɑsɪræ,mħaːsˤr,siege,Trapped,8,1.4264132999999999,0.9260252714157104,0.6916953325271606,hard_negative
177,All_languages,həvəs,حماس,hævæs,ħmaːs,enthusiasm,agitation,5,3.4487972,0.8932150602340698,0.7285645604133606,synonym
178,All_languages,namus,ناموس,nɑmus,naːmuːs,home,Honor,5,3.3087776,0.8704403638839722,0.8158345818519592,hard_negative
179,All_languages,din,دين,dɪn,diːn,from,religion,3,1.1915145,0.8428950309753418,0.5823802947998047,hard_negative
180,All_languages,şura,شورى,ʃurɑ,ʃuːra,council,Shura,4,1.926077,0.8067818284034729,0.6854185461997986,hard_negative
181,All_languages,dəqiq,دقيق,dæɡɪɡ,dqiːq,exactly,Flour,5,3.4716002999999995,0.9263441562652588,0.6570176482200623,synonym
182,All_languages,müdhiş,مدهش,mydhɪʃ,mdhʃ,awesome,Amazing,6,3.3724942,0.8989985585212708,0.7307574152946472,hard_negative
183,All_languages,təəssüb,تحاسب,tææssyb,tħaːsb,prejudice,Accounting,7,1.8500695,0.849148154258728,0.4899919927120209,hard_negative
184,All_languages,izin,حزن,ɪzɪn,ħzn,permission,Sadnes,4,0.8185406999999999,0.8580480813980103,0.6698295474052429,hard_negative
185,All_languages,Fəlakət,ضائقة,fælɑkæt,dˤaːiːٔqt,Disaster,hardship,7,1.0744538000000001,0.8652383685112,0.7193333506584167,synonym
186,All_languages,adi,عَادَة,ɑdɪ,ʕَaːdَt,adi,Usually,6,4.370331299999999,0.8232790231704712,0.5700240135192871,random
187,All_languages,məqbul,مخبول,mæɡbul,mxbuːl,acceptable,crazed,6,0.8816669,0.8774330019950867,0.7621662616729736,hard_negative
