,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,label
71,All_languages,instant,instant,ˈɪnstənt,ɛ̃stɑ̃,instant,instant,0,-3.1404405,0.9999995231628418,1.0,loan
72,All_languages,patrol,patrouille,pəˈtroʊl,patʀujl,patrol,patrol,4,-1.1535753999999998,0.3727783858776093,0.8438720107078552,loan
73,All_languages,fluidity,fluidité,fluˈɪdəti,flɥidite,fluidity,fluidity,1,-1.5436943,0.8160927295684814,0.8205499053001404,loan
74,All_languages,anacyclic,anacyclique,anacyclic*,anaziklik,anacyclic,anacyclic,3,-3.6953952000000005,0.8196792006492615,0.8279051184654236,loan
75,All_languages,Matheny,Matheny,ˈmæθɪni,matəni,Matheny,Matheny,0,-2.8490446,0.9999992847442628,1.0,loan
76,All_languages,crêpe Suzette,crêpe Suzette,crêpe* ˌsuˈzɛt,kʀə̂pə syzɛt,Crepe suzette,Crepe suzette,0,-6.277557,0.9999997615814208,1.0,loan
77,All_languages,Diakite,Diakité,diakite*,djakite,Diakite,Diakity,1,-2.0591459999999997,0.9488782286643982,0.726154088973999,loan
78,All_languages,redoubtable,redoutable,rəˈdaʊtəbəl,ʀədutabl,redoubtable,formidable,1,-1.5635693000000002,0.979095458984375,0.8018417954444885,loan
79,All_languages,placket,plaquer,placket*,plakəʀ,placket,tackle,3,-7.945296000000001,0.9045895338058472,0.6881068348884583,loan
80,All_languages,Danna,D'Anna,ˈdænə,d'ɑna,Danna,From Anna,2,-1.0391146999999998,0.8179993033409119,0.6601536273956299,loan
81,All_languages,musculature,musculature,ˈməskjələʧər,myskylatyʀ,musculature,musculature,0,-5.1208873,0.9999997615814208,1.0,loan
82,All_languages,fisher cat,fiche,ˈfɪʃər kæt,fiʃ,fisher cat,form,6,-4.6003050000000005,0.6473190188407898,0.6348496079444885,loan
83,All_languages,immanent,immanēns,ˈɪmənənt,ɛmanə̄n,immanent,immanen,2,-2.3153625,0.8807182312011719,0.7712447047233582,loan
84,All_languages,Nouvelle-Aquitaine,Nouvelle-Aquitaine,nouvelle-aquitaine*,nuvɛlə-akitɛn,New Aquitaine,New Aquitaine,0,-5.244436299999999,0.9999997615814208,1.0,loan
85,All_languages,Couture,Couture,kuˈtʊr,kutyʀ,Couture,Couture,0,-2.3200933999999998,0.9999997615814208,1.0,loan
86,All_languages,anagram,anagramme,ˈænəˌgræm,anaɡʀɑm,anagram,anagram,2,-4.879106,0.9284234642982484,0.8994861245155334,loan
87,All_languages,etui,étui,etui*,etɥi,case,case,1,-1.5737731000000001,0.8860145807266235,0.6152291297912598,loan
88,All_languages,xanthein,xantheine,xanthein*,ksɑ̃təin,xanthein,xanthine,1,-0.8559952,0.9536059498786926,0.5878182053565979,loan
89,All_languages,quartier,quartier,quartier*,kaʀsjəʀ,piece,piece,0,-3.3944553999999996,0.999999701976776,1.0,loan
90,All_languages,Dnieper,Dnieper,dnieper*,dnjəpəʀ,Dnieper,Dnieper,0,-5.803307,0.9999998807907104,1.0,loan
91,All_languages,resume,resumer,ˈrɛzəˌmeɪ,ʀəzyməʀ,resume,resumer,1,-2.2572045,0.884323239326477,0.782638430595398,loan
92,All_languages,historiette,historiette,historiette*,istɔʀjɛt,historiette,historiette,0,-4.450147599999999,0.999999701976776,1.0,loan
93,All_languages,intussusception,intussusception,intussusception*,ɛ̃tysyzɛpsjɔ̃,intussusception,intussusception,0,-5.331325,0.9999996423721312,1.0,loan
94,All_languages,objective,objectif,əˈbʤɛktɪv,ɔbʒɛktif,objective,goal,2,-3.4264762,0.7515013813972473,0.7628463506698608,loan
95,All_languages,Floch,Floc'h,floch*,flɔk',floch,Floc'h,1,-0.81314147,0.8427839875221252,0.6616410613059998,loan
96,All_languages,Provençal,provenceal,provençal*,pʀɔvɑ̃səal,Provençal,provenceal,3,-7.3900356,0.8931788206100464,0.8275958895683289,loan
97,All_languages,Berger Picard,berger picard,ˈbərgər pɪˈkɑrd,bɛʀʒəʀ pikaʀ,Berger Picard,berger picard,2,-2.8646974999999997,0.8893381953239441,0.7965342998504639,loan
98,All_languages,phenakistoscope,phénakistiscope,phenakistoscope*,fenakistiskɔp,phenakistoscope,phénakistiscope,2,-5.5113544,0.946753203868866,0.7194448709487915,loan
99,All_languages,exactitude,exactitude,ɪgˈzæktəˌtud,əɡzaktityd,exactitude,exactitude,0,-4.015386,0.999999701976776,1.0,loan
100,All_languages,Frechette,Fréchette,frɪˈʃɛt,fʀeʃɛt,cheeky,Fréchette,1,-2.5563369,0.9052850604057312,0.8576450943946838,loan
101,All_languages,en plein air,en plein air,ɛn plin ɛr,ən pləin ɛʀ,en plein air,en plein air,0,-3.8171136,0.9999997615814208,1.0,loan
102,All_languages,burbot,barbote,burbot*,baʀbɔt,burbot,dabbles,2,-6.1453323,0.9357205033302308,0.7969939708709717,loan
103,All_languages,emetic,émétique,ɪˈmɛtɪk,emetik,emetic,emetic,5,-1.9705069,0.8570751547813416,0.7437245845794678,loan
104,All_languages,belle sabreuse,belle,bɛl sabreuse*,bɛl,beautiful saber,belle,9,-5.343173,0.8547995686531067,0.6550440192222595,loan
105,All_languages,réchauffé,réchauffé,réchauffé*é,ʀeʃofe,warmed up,warmed up,0,-4.949617400000001,0.9999997615814208,1.0,loan
106,All_languages,accommodation,accommodation,əˌkɑməˈdeɪʃən,akkɔmɔdasjɔ̃,accommodation,accommodation,0,-6.955078599999999,0.9999995231628418,1.0,loan
107,All_languages,satin de laine,satin de laine,ˈsætən də leɪn,satin də lɛn,wool sateen,wool sateen,0,-7.0903754,0.9999998211860656,1.0,loan
108,All_languages,bacteriophage,bactériophage,bacteriophage*,bakteʀjɔfaʒ,bacteriophage,bacteriophage,1,-3.2793523999999996,0.96809059381485,0.8580271601676941,loan
109,All_languages,negociant,négociant,negociant*,neɡɔsjɑ̃,negotiator,merchant,1,-1.9143546000000002,0.9640636444091796,0.892899751663208,loan
110,All_languages,vive la différence,vive,viv lɑ différence*,viv,long live difference,vive,14,-15.018203,0.8147338628768921,0.6067865490913391,loan
111,All_languages,pourparler,pourparler,pourparler*,puʀpaʀləʀ,to talk,to talk,0,-2.6829762,0.9999997615814208,1.0,loan
112,All_languages,quatre,quatre,quatre*,katʀ,four,four,0,-2.4141111,0.9999998211860656,1.0,loan
113,All_languages,billet-doux,billet doux,billet-doux*,bijət du,soft ticket,soft ticket,1,-5.041476,0.9797210693359376,0.7959508895874023,loan
114,All_languages,compute,computer,kəmˈpjut,kɔ̃pytəʀ,compute,computer,1,-5.2990627,0.4652126729488373,0.7182717323303223,loan
115,All_languages,objet d'art,objet,objet* d'art*,ɔbʒɛ,art object,objet,6,-4.0990644,0.8418188095092773,0.6929580569267273,loan
116,All_languages,faux ami,faux-ami,foʊ ˈɑmi,foks-ami,fake friend,fake friend,1,-6.306443700000001,0.9681857824325562,0.8330910205841064,loan
117,All_languages,glycogen,glycogène,ˈglaɪkəʤɪn,ɡljkɔʒə̀n,glycogen,glycogen,2,-1.7950783,0.93165922164917,0.8669598698616028,loan
118,All_languages,pedal,pédale,ˈpɛdəl,pedal,pedal,pedal,2,-1.8746886999999999,0.4307858347892761,0.8019160628318787,loan
119,All_languages,develop,développer,dɪˈvɛləp,devəlɔpəʀ,develop,to develop,4,-0.69229126,0.653414785861969,0.7135966420173645,loan
120,All_languages,aeroplane,aéroplane,aeroplane*,aeʀɔplan,aeroplane,airplane,1,-2.8356595,0.8885685801506042,0.8518169522285461,loan
121,All_languages,Pree,Prée,pri,pʀe,Pree,Meadow,1,-1.1245561000000002,0.7440634369850159,0.7974281311035156,loan
122,All_languages,chef de mission,chef de mission,ʃɛf də ˈmɪʃən,ʃəf də misjɔ̃,Head of Mission,Head of Mission,0,-3.8735404000000004,0.9999997615814208,1.0,loan
123,All_languages,ponce,alphonse,ˈpɑnseɪ,alfɔ̃s,ponce,alphonse,4,-13.040873,0.7656150460243225,0.8183241486549377,loan
124,All_languages,feuilletonist,feuilletoniste,feuilletonist*,fœjlətɔnist,feuilletonist,columnist,1,-13.451673000000001,0.98638653755188,0.7428359985351562,loan
125,All_languages,inenarrable,inénarrable,inenarrable*,inenaʀʀabl,indescribable,indescribable,1,-5.8642535,0.8355863094329834,0.6292158961296082,loan
126,All_languages,Gobelin,Kobold,gobelin*,kɔbɔl,Goblin,Kobold,4,-2.5031092,0.9389008283615112,0.7853049635887146,loan
127,All_languages,nitrogen,nitrogène,ˈnaɪtrəʤən,nitʀɔʒə̀n,nitrogen,nitrogen,2,-6.3890224,0.7883731722831726,0.6891919374465942,loan
128,All_languages,presque vu,presque,presque* vu,pʀɛsk,almost saw,presque,3,-1.4941165,0.9291966557502748,0.7400998473167419,loan
129,All_languages,collaborator,collaborateur,kəˈlæbərˌeɪtər,kɔlabɔʀatœʀ,collaborator,collaborater,2,-2.8614832999999997,0.8419064879417419,0.8760091662406921,loan
130,All_languages,departmental,départemental,dɪˌpɑrtˈmɛnəl,depaʀtəmɑ̃tal,departmental,departmental,2,-5.181463,0.8125232458114624,0.6778087615966797,loan
131,All_languages,beau joueur,beau,boʊ joueur*,bo,handsome player,beau,7,-8.232244,0.8808033466339111,0.7931194305419922,loan
132,All_languages,lagoon,lagune,ləˈgun,laɡn,lagoon,lagoon,3,-3.8613824999999995,0.8151268362998962,0.7686407566070557,loan
133,All_languages,prestidigitator,prestidigitateur,ˌprɛstɪˈdɪʤəteɪtər,pʀɛstidiʒitatœʀ,prestidigitator,magician,2,-12.896450999999999,0.9711085557937622,0.849744975566864,loan
134,All_languages,district,district,ˈdɪstrɪkt,distʀik,district,district,0,-2.5527887000000002,0.9999988079071044,1.0,loan
135,All_languages,pecan,pacane,ˈpiˌkɑn,pakan,pecan,pacane,2,-3.4491,0.9401282668113708,0.7422659397125244,loan
136,All_languages,krumeluuri,krumelur,krumeluːri,krʉːmeːlʉːr,earwave,krumelur,2,-1.971748,0.9117136001586914,0.7853705286979675,loan
137,All_languages,tee,te,teː,teː,tee,te,1,-3.5747720999999997,0.8705242872238159,0.5543311238288879,loan
138,All_languages,kyttä,skytte,kyttæ,sɕʏteː,cop,shooter,2,-2.8014872000000004,0.7768268585205078,0.6605762243270874,loan
139,All_languages,veke,iväg,ʋeke,iːvɛːɡ,wick,away,4,-5.957106,0.8494337201118469,0.6098040342330933,loan
140,All_languages,raksi,dragsa,rɑksi,drɐɡsɑː,traction,drag,3,-4.5212335999999995,0.8457916378974915,0.7382685542106628,loan
141,All_languages,rekvisiitta,rekvisita,rekʋisiːttɑ,rɛkviːsiːtɑː,props,props,2,-12.135797,0.9610488414764404,0.6189178228378296,loan
142,All_languages,kippari,skeppare,kippɑri,sɕɛpɑːreː,skipper,skipper,3,-2.5593355,0.9017308950424194,0.6186960935592651,loan
143,All_languages,hurtti,hurtig,hurtti,hɵrtiːɡ,dashing,fast,2,-2.7468320999999998,0.8654810786247253,0.8364626169204712,loan
144,All_languages,mestari,mästare,mestɑri,mɛstɑːreː,Master,Master,2,-4.0278945,0.7893208265304565,0.6528034806251526,loan
145,All_languages,Kumlinge,Kumlinge,kumliŋŋe,kɵmlɪnjeː,Kumlinge,Kumlinge,0,-2.7735790000000002,0.9999998211860656,1.0,loan
146,All_languages,-ska,-ska,-skɑ,-ɧɑː,-ska,-ska,0,-3.5438160000000005,0.9999998211860656,1.0,loan
147,All_languages,ankka,anka,ɑŋkkɑ,ɐnkɑː,duck,anka,1,-4.8294606,0.9398839473724364,0.7542106509208679,loan
148,All_languages,pitsi,spets,pitsi,spɛts,lace,tip,3,-1.5785278999999999,0.8123076558113098,0.7279648780822754,loan
149,All_languages,skrapa,skrapa,skrɑpɑ,ɧrɑːpɑː,Scrape,Scrape,0,-3.634727,0.9999998807907104,1.0,loan
150,All_languages,konsti,konst,konsti,kɔnst,wrinkle,art,1,-2.3241978,0.9081318378448486,0.8456206917762756,loan
151,All_languages,piippu,pipa,piːppu,piːpɑː,barrel,pipa,3,-4.566806,0.8883945941925049,0.7915257811546326,loan
152,All_languages,lankki,blank,lɑŋkki,blɐnk,bow,blank,3,-0.42114875,0.8423203825950623,0.709115743637085,loan
153,All_languages,limonadi,limonad,limonɑdi,liːmuːnɑːd,limonadi,lemonade,1,-6.128009,0.9459861516952516,0.8714886903762817,loan
154,All_languages,markkinat,marknad,mɑrkkinɑt,mɐrknɑːd,Fair,market,3,-4.455604599999999,0.8986866474151611,0.7641801238059998,loan
155,All_languages,Margareeta,Margareta,mɑrɡɑreːtɑ,mɐrɡɑːreːtɑː,Daisy,Margareta,1,-9.027231,0.8610544204711914,0.6255070567131042,loan
156,All_languages,hampuusi,hamnbuse,hɑmpuːsi,hɐmnbʉːseː,vagabond,hamnbuse,3,-10.201328,0.9020119905471802,0.763717770576477,loan
157,All_languages,asetti,assiett,ɑsetti,ɐsiːɛt,small plate,small plate,3,-3.5240002,0.7284287214279175,0.5671469569206238,loan
158,All_languages,piparkakku,pepparkaka,pipɑrkɑkku,pɛpɐrkɑːkɑː,gingerbread,gingerbread,4,-15.679398,0.9586844444274902,0.5924056172370911,loan
159,All_languages,kurkku,Kvarken,kurkku,kvɑːrɕeːn,cucumber,Kvarken,5,-6.4625363,0.8619829416275024,0.6168264746665955,loan
160,All_languages,kyökki,kök,kyøkki,ɕøːk,squat,kitchen,3,-3.7393222,0.9045386910438538,0.8117263317108154,loan
161,All_languages,virveli,svirvel,ʋirʋeli,svɪrveːl,rope,svirvel,2,-6.722557000000001,0.9083833694458008,0.7979653477668762,loan
162,All_languages,faarao,farao,fɑːrɑo,fɑːrɑːuː,pharaoh,pharaoh,1,-2.3357775000000003,0.9121200442314148,0.8944187760353088,loan
163,All_languages,kanslia,kansli,kɑnsliɑ,kɐnsliː,office,office,1,-4.464869,0.9652114510536194,0.7314554452896118,loan
164,All_languages,rontti,strunt,rontti,strɵnt,scoundrel,rubbish,5,-8.606902999999999,0.8540537357330322,0.6708838939666748,loan
165,All_languages,arkki,ark,ɑrkki,ɐrk,sheet,ark,2,-1.0774848,0.9203505516052246,0.7242791652679443,loan
166,All_languages,anjovis,ansjovis,ɑnjoʋis,ɐnɧuːviːs,anjovis,anchovies,1,-5.784029,0.9469328522682191,0.8321914076805115,loan
167,All_languages,duuni,dona,duːni,duːnɑː,job,dona,3,-6.4174213,0.9016696214675904,0.7367021441459656,loan
168,All_languages,alkoholisti,alkoholist,ɑlkoɦolisti,ɐlkuːhuːlɪst,alcoholic,alcoholic,1,-12.168613,0.9365860223770142,0.7838335633277893,loan
169,All_languages,klaava,klave,klɑːʋɑ,klɑːveː,clava,klave,2,-1.4198624,0.9019731283187866,0.7188937067985535,loan
170,All_languages,huitu,hvit,huitu,hviːt,drawing,white,2,-1.392508,0.8307990431785583,0.7573942542076111,loan
171,All_languages,sorvari,svarvare,sorʋɑri,svɐrvɑːreː,turner,turner,3,-7.168209,0.851486086845398,0.6700969934463501,loan
172,All_languages,jaa,ja,jɑː,jɑː,jaa,and,1,-2.0855134,0.836431622505188,0.7562835216522217,loan
173,All_languages,krouvi,krogher,krouʋi,krɔɡheːr,κρουβι,kroger,4,-4.55572,0.8802535533905029,0.6768144965171814,loan
174,All_languages,pompöösi,pompös,pompøːsi,pɔmpøːs,pompous,pompous,2,-2.5155540000000003,0.9231393337249756,0.8051950335502625,loan
175,All_languages,paakari,bagare,pɑːkɑri,bɑːɡɑːreː,Pakri,baker,4,-1.8033143,0.8182809352874756,0.7742968797683716,loan
176,All_languages,vartti,kvart,ʋɑrtti,kvɐrt,quarter,quarter,3,-7.45953,0.7742241621017456,0.7310175895690918,loan
177,All_languages,vohveli,våffla,ʋoɦʋeli,vɔflɑː,vohveli,waffle,5,-2.5686016,0.8995511531829834,0.7583844661712646,loan
178,All_languages,eeben,eben,eːben,eːbeːn,eeben,eben,1,-3.3133662000000004,0.95049786567688,0.7934387326240541,loan
179,All_languages,puustavi,bokstav,puːstɑʋi,bɔkstɑːv,woodworking,letter,4,-9.465736,0.8850780725479126,0.7708056569099426,loan
180,All_languages,kousa,kåsa,kousɑ,koːsɑː,Kousa,kåsa,2,-4.231423,0.8942389488220215,0.5789061188697815,loan
181,All_languages,treffata,träffa,treffɑtɑ,trɛfɑː,treffata,meet,3,-1.2159374,0.8943688869476318,0.7931666970252991,loan
182,All_languages,Norja,Norge,norjɑ,nɔrjeː,Norway,Norway,2,-2.4171169,0.910441756248474,0.5414992570877075,loan
183,All_languages,mittumaari,midsommar,mittumɑːri,mɪdsɔmɑːr,not measured,midsummer,5,-0.5684176999999999,0.7690008878707886,0.7050220966339111,loan
184,All_languages,flunssa,flunsa,flunssɑ,flɵnsɑː,flu,flunsa,1,-5.406181299999999,0.9802042841911316,0.7790249586105347,loan
185,All_languages,sola,svala,solɑ,svɑːlɑː,sola,cool,2,-3.15004,0.7720698714256287,0.709071695804596,loan
186,All_languages,maalari,målare,mɑːlɑri,moːlɑːreː,,painter,3,-2.3751993,0.8385127186775208,0.7645401358604431,loan
